srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,label
3232291856,3232261126,50678,80,TCP,1489760300356782.5,0.003,6,545.0,1
3232261126,3232291856,80,52296,TCP,1489760302437744.5,0.004,4,272.0,0
3232261125,3232291854,692,59286,TCP,1489767646072123.2,0.1007093893818067,6,545.0,0
3232261126,3232291856,80,54914,TCP,1489760310267139.2,0.004,3,206.0,0
3232261126,3232291856,80,60617,TCP,1489760278390328.5,0.006,4,272.0,0
3232291856,3232261126,56513,80,TCP,1489760315824940.8,0.011,6,545.0,1
3232291856,3232291846,33628,10481,TCP,1489766301029683.2,0.0,1,58.0,1
3232261125,3232291851,445,53869,TCP,1489760342848906.5,0.0,1,92.0,0
3232291856,3232261126,36919,80,TCP,1489760287021297.2,0.004,5,479.0,1
3232261126,3232291856,80,49072,TCP,1489760293741832.8,0.0069999999999999,4,272.0,0
3232289283,3232291856,1605,40196,TCP,1489771947238324.8,0.0,1,54.0,0
3232289281,3232291856,33535,33517,TCP,1489765852932734.8,0.0,1,54.0,0
3232261126,3232291856,80,37046,TCP,1489760289368924.5,0.003,3,206.0,0
3232291856,3232261126,60468,80,TCP,1489760327445788.2,0.003,5,479.0,1
3232291856,3232261126,36919,80,TCP,1489760286953517.0,0.005,5,479.0,1
3232291856,3232261126,36919,80,TCP,1489760338557570.2,0.008,6,545.0,1
3232291856,3232261126,33443,80,TCP,1489760281501833.2,0.004,5,479.0,1
3232261126,3232291856,80,52347,TCP,1489760303453320.2,0.005,4,272.0,0
3232261126,3232291856,80,40218,TCP,1489760290683297.8,0.003,4,272.0,0
3232291856,3232289283,33535,2063,TCP,1489766150891229.8,0.0,1,58.0,1
3232291856,3232261125,56203,445,TCP,1489771886689593.5,0.008,2,206.0,0
3232289281,3232291856,138,34473,TCP,1489768197296468.8,0.0,1,54.0,0
3232261126,3232291856,80,60135,TCP,1489760327549052.2,0.006,4,272.0,0
3232261126,3232291856,80,54043,TCP,1489760306930035.5,0.003,4,272.0,0
3232261126,3232291856,80,58047,TCP,1489760321740000.5,0.004,4,272.0,0
3232261126,3232291856,80,36919,TCP,1489760319530786.8,0.004,4,272.0,0
3232261126,3232291856,80,53659,TCP,1489760306066209.5,0.004,4,272.0,0
3232291856,3232261125,54823,445,TCP,1489762889541250.8,0.004,2,174.0,0
3232291856,3232261126,59802,80,TCP,1489760278401427.2,0.005,5,479.0,1
3232291856,3232261126,47876,80,TCP,1489760289974508.0,0.003,6,545.0,1
3232261125,3232291856,445,36913,TCP,1489760341995673.5,0.0,1,70.0,0
3232261126,3232291856,80,34081,TCP,1489760284192332.2,0.005,4,272.0,0
3232291856,3232261126,35909,80,TCP,1489760284655805.0,0.006,5,479.0,1
3232291856,3232289282,36094,7718,TCP,1489770781341518.8,0.0,1,58.0,1
3232291856,3232261126,50498,80,TCP,1489760294659464.5,0.004,5,479.0,1
3232291856,3232261126,52616,80,TCP,1489760301054347.8,0.003,6,545.0,1
3232261126,3232291856,80,36342,TCP,1489760329113048.8,0.002,4,272.0,0
3232289282,3232291856,32831,33938,TCP,1489768945493282.0,0.0,1,54.0,0
3232291856,3232261126,54705,80,TCP,1489760310922306.5,0.004,5,479.0,1
3232291856,3232289284,33535,2077,TCP,1489766439375362.8,0.0,1,58.0,1
3232291856,3232261126,36379,80,TCP,1489760339050958.2,0.0069999999999999,6,545.0,1
3232291841,3232261125,34436,445,TCP,1489767866367780.5,0.008,2,174.0,0
3232291856,3232261126,60163,80,TCP,1489760278623703.5,0.005,6,545.0,1
3232261126,3232291856,80,57761,TCP,1489760323682830.8,0.002,4,272.0,0
3232291856,3232261126,37513,80,TCP,1489760289318899.8,0.011,6,545.0,1
3232291856,3232261126,52300,80,TCP,1489760301834797.8,0.005,6,545.0,1
3232291856,3232261126,33536,80,TCP,1489760283701490.2,0.005,6,545.0,1
3232291856,3232261126,36919,80,TCP,1489760337465511.5,0.007882638575381469,6,545.0,1
3232261126,3232291856,80,50528,TCP,1489760295096994.2,0.003,4,272.0,0
3232261126,3232291856,80,60725,TCP,1489760335276361.5,0.003,4,272.0,0
3232291856,3232289282,33532,2027,TCP,1489767613603825.2,0.0,1,58.0,1
3232291856,3232289285,33859,3949,TCP,1489770709407280.5,0.002,1,108.10456396545862,1
3232291856,3232261126,60682,80,TCP,1489760278604120.8,0.005,5,479.0,1
3232291856,3232261126,33021,80,TCP,1489760281454168.8,0.009,6,545.0,1
3232261126,3232291856,80,56473,TCP,1489760313965923.0,0.003,3,206.0,0
3232261126,3232291856,80,49122,TCP,1489760294978807.0,0.006,4,272.0,0
3232261126,3232291856,80,35741,TCP,1489760331229355.8,0.01,4,272.0,0
3232261126,3232291856,80,49285,TCP,1489760293909184.0,0.004,4,272.0,0
3232291856,3232261126,49313,80,TCP,1489760295178748.0,0.006,6,545.0,1
3232261126,3232291856,80,36463,TCP,1489760342199325.5,0.002,3,206.0,0
3232289282,3232291856,1259,34456,TCP,1489769149217228.8,0.0,1,54.0,0
3232261126,3232291856,80,47994,TCP,1489760290094681.0,0.003,3,206.0,0
3232291853,3232261125,53466,445,TCP,1489767334260211.0,0.006,2,206.0,0
3232261126,3232291856,80,50044,TCP,1489760298222906.8,0.005,4,272.0,0
3232291856,3232261126,52109,80,TCP,1489760301905049.8,0.004,5,479.0,1
3232291856,3232289285,34198,1713,TCP,1489768514694928.0,0.0,1,58.0,1
3232261126,3232291856,80,51782,TCP,1489760299945384.8,0.002,4,272.0,0
3232291856,3232261126,55313,80,TCP,1489760312440770.5,0.006,6,545.0,1
3232291856,3232261126,50738,80,TCP,1489760295603753.2,0.005,6,545.0,1
3232291856,3232261126,54411,80,TCP,1489760314309813.5,0.008,6,545.0,1
3232261126,3232291856,80,51045,TCP,1489760298727626.5,0.005,3,206.0,0
