srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,label
3232291856,3232289283,33535,1974,TCP,1489767773510386.5,0.0,1,58.0,1
3232291856,3232261126,36766,80,TCP,1489760334154296.5,0.005,6,545.0,1
3232291856,3232261126,55698,80,TCP,1489760313910223.5,0.008,6,545.0,1
3232291856,3232289281,36185,33497,TCP,1489771399663409.5,0.0,1,58.0,1
3232261126,3232291856,80,60764,TCP,1489760281120059.8,0.004,3,206.0,0
3232291856,3232261126,50318,80,TCP,1489760297080398.5,0.004,5,479.0,1
3232261126,3232291856,80,55809,TCP,1489760313682279.8,0.004,3,206.0,0
3232291856,3232289283,36919,6104,TCP,1489771537180854.5,0.0,1,58.0,1
3232291856,3232261126,34992,80,TCP,1489760338670407.8,0.006,5,479.0,1
3232291844,3232261125,35893,445,TCP,1489765497752299.2,0.009,6,545.0,0
3232291856,3232261126,60020,80,TCP,1489760329322424.5,0.004,6,545.0,1
3232291856,3232289282,36224,1064,TCP,1489770388712276.0,0.0,1,58.0,1
3232291856,3232261126,57287,80,TCP,1489760320220273.0,0.009,6,545.0,1
3232291856,3232261126,48947,80,TCP,1489760292366713.8,0.008,6,545.0,1
3232289281,3232291856,1095,33955,TCP,1489768196388618.5,0.0,1,54.0,0
3232291856,3232291856,0,0,ICMP,1489760335907926.5,45.483,1,174.0,0
3232261125,3232291846,445,53225,TCP,1489765695213239.0,0.0,1,174.0,0
3232291856,3232261126,53152,80,TCP,1489760308557884.2,0.006,6,545.0,1
3232291856,3232261126,50564,80,TCP,1489760300114065.0,0.004,6,545.0,1
3232291856,3232261126,33807,80,TCP,1489760284647805.2,0.004,6,545.0,1
3232291856,3232261126,54532,80,TCP,1489760311497802.2,0.0069999999999999,5,479.0,1
3232291856,3232261126,59492,80,TCP,1489760327969561.0,0.005,5,479.0,1
3232261126,3232291856,80,50871,TCP,1489760302084911.0,0.0,3,206.0,0
3232291856,3232261126,55392,80,TCP,1489760312347450.0,0.006,6,545.0,1
3232261126,3232291856,80,42275,TCP,1489763111412220.8,0.008,4,272.0,0
3232291856,3232261126,48810,80,TCP,1489760295797842.8,0.006,6,545.0,1
3232261126,3232291856,80,33347,TCP,1489760281692891.2,0.003,4,272.0,0
3232291856,3232261126,53627,80,TCP,1489760307074052.8,0.006,6,545.0,1
3232291856,3232289484,33535,979,TCP,1489766888510635.8,0.0,1,58.0,1
3232291856,3232291856,138,2822,UDP,1489771502490271.5,0.0,1,206.0,0
3232261126,3232291856,80,59940,TCP,1489760277954965.8,0.004,4,272.0,0
3232291856,3232289284,33535,3829,TCP,1489767185345986.2,0.0,1,58.0,1
3232289283,3232291856,5640,36678,TCP,1489770839761078.0,0.0,1,58.0,0
3232291856,3232261126,59213,80,TCP,1489760327055534.5,0.004,6,545.0,1
3232286724,3232291856,80,80,UDP,1489766823384310.8,0.0,1,58.0,0
3232291856,3232261126,35617,80,TCP,1489760337100433.2,0.003,5,479.0,1
3232291856,3232261126,50389,80,TCP,1489760296502743.0,0.006,5,479.0,1
3232291856,3232289283,33535,1717,TCP,1489767026677737.5,0.0,1,58.0,1
3232291856,3232289283,36919,445,TCP,1489771921414394.5,0.0,1,58.0,1
3232291856,3232261126,55864,80,TCP,1489760313184268.0,0.002,5,479.0,1
3232261125,3232291853,445,60008,TCP,1489766961817352.2,0.0,1,110.10236876537245,0
3232261125,3232289285,445,36919,TCP,1489765681857563.5,0.0,1,108.0,0
3232291856,3232289282,36919,2091,TCP,1489771134349468.5,0.0,1,58.0,1
3232261126,3232291856,80,58191,TCP,1489760324047676.2,0.005,4,272.0,0
3232291856,3232261126,59780,80,TCP,1489760326731496.8,0.01,6,545.0,1
3232291856,3232261126,52055,80,TCP,1489760300221353.5,0.006,6,545.0,1
3232261126,3232291856,80,55489,TCP,1489760311565650.2,0.003,3,206.0,0
3232261126,3232291856,80,53686,TCP,1489760308839639.2,0.005,4,272.0,0
3232261126,3232291856,80,35817,TCP,1489760332642099.2,0.006414682929312392,4,272.0,0
3232261126,3232291856,80,51771,TCP,1489760303797170.8,0.003,4,272.0,0
3232291856,3232261126,49781,80,TCP,1489760294125807.5,0.006,6,545.0,1
3232261126,3232291856,80,60813,TCP,1489760280857959.8,0.005,4,272.0,0
3232291856,3232261126,56307,80,TCP,1489760323501032.0,0.005,6,545.0,1
3232289282,3232291856,3596,33515,TCP,1489766853619050.5,0.0,1,54.0,0
3232261126,3232261125,59757,5250,TCP,1489763811601345.8,0.0,1,58.0,0
3232289283,3232291856,3337,33535,TCP,1489767193984253.5,0.0,1,54.0,0
3232291856,3232261126,59994,80,TCP,1489760330744800.2,0.006,6,545.0,1
3232261126,3232291856,80,60608,TCP,1489760336291127.8,0.002,4,272.0,0
3232261126,3232291856,80,60470,TCP,1489760278690394.8,0.004,4,272.0,0
3232261125,3232291856,445,56848,TCP,1489770622462617.8,0.0,1,108.0,0
3232261126,3232291856,80,57715,TCP,1489760321287454.5,0.006,4,272.0,0
3232261126,3232291856,80,37215,TCP,1489760337826486.2,0.004,3,206.0,0
3232291856,3232289285,0,8,ICMP,1489768746356976.5,0.0,1,42.0,1
3232261126,3232291856,80,35059,TCP,1489760333313156.0,0.004,4,272.0,0
3232261126,3232291856,80,58485,TCP,1489760325601706.5,0.003,3,206.0,0
3232289283,3232291856,2901,33341,TCP,1489767147825365.8,0.0,1,54.0,0
3232291856,3232289283,36920,1084,TCP,1489770937561659.0,0.0,1,58.0,1
3232261126,3232291856,80,56284,TCP,1489760315447418.5,0.002,4,272.0,0
3232291856,3232261126,36919,80,TCP,1489760286350105.2,0.004,6,545.0,1
3232261126,3232291856,80,51031,TCP,1489760299770391.2,0.0069999999999999,4,272.0,0
3232291856,3232261126,34295,80,TCP,1489760284444423.5,0.0183834451508399,6,545.0,1
3232289281,3232291856,33308,40062,TCP,1489771807196365.0,0.0,1,54.0,0
3232291856,3232261126,58800,80,TCP,1489760324876259.5,0.005,6,545.0,1
3232291856,3232261126,60272,80,TCP,1489760332131455.8,0.005,6,545.0,1
3232291856,3232261126,52707,80,TCP,1489760306877390.2,0.006,6,545.0,1
3232289282,3232291856,445,36265,TCP,1489770815903520.0,0.0,1,54.0,0
3232261126,3232291856,80,53954,TCP,1489760307180317.2,0.006,3,206.0,0
3232291854,3232261125,36919,445,TCP,1489760342044212.5,0.004,2,174.0,0
3232261126,3232291856,80,54565,TCP,1489760310566096.8,0.003,4,272.0,0
3232289281,3232291856,1038,37136,TCP,1489771715427056.8,0.0,1,54.0,0
3232261126,3232291856,80,58215,TCP,1489760323160378.5,0.003,4,272.0,0
3232291853,3232291856,80,137,UDP,1489768032394686.5,0.0,1,58.0,0
3232261126,3232291856,80,60201,TCP,1489760332617411.8,0.003,3,206.0,0
3232291856,3232261126,54003,80,TCP,1489760307433836.8,0.004,6,545.0,1
