srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,label
3232284794,3232272429,59484,205,TCP,1489583714733357.0,0.0023158128113364,3,471.0398178949245,1
3232290515,3232272426,35487,205,TCP,1489583714729736.8,0.002315808850171,3,451.3436456936132,1
3232284267,3232275303,365,37406,TCP,1489572222867814.5,0.002315809433346,3,2137.109933853932,0
3232285200,3232272428,35487,205,TCP,1489583714732807.2,0.0023158127078845,3,478.95308358965264,1
3232284267,3232272904,365,43134,TCP,1489555593381241.2,0.0023158061263598,3,1251.8518286341673,0
3232284632,3232272436,35487,205,TCP,1489583714737359.2,0.0023158190297635,3,547.4288004069808,1
3232284474,3232272428,57340,205,TCP,1489583714729208.5,0.0023158080297873,3,474.620890382935,1
3232284673,3232272431,35487,205,TCP,1489583714735838.0,0.0023158157667582,3,570.9716955534187,1
3232287901,3232272426,57340,205,TCP,1489583714731872.5,0.002315811367907,3,454.4404249757063,1
3232284340,3232272534,35487,205,TCP,1489565963614519.5,0.002315831124876,3,620.2143260499632,1
3232284267,3232315642,365,205,UDP,1489565963549552.5,0.0023158076440175,3,473.4193299343698,0
3232284305,3232272788,365,205,TCP,1489547513503979.5,0.0023158283960763,3,728.8912836393436,0
3232284270,3232275985,365,205,UDP,1489565963620847.0,0.0023158348768538,3,949.918804818119,0
3232290108,3232272426,57340,205,TCP,1489583714728647.2,0.0023158075083583,4,448.2090757265725,1
3232284295,3232272623,51468,49272,TCP,1489578545327236.2,0.0023158267039324,3,1030.8406202615054,0
3232284354,3232272596,365,6439,TCP,1489543863007478.5,0.950826874102412,3,1182.7088347214146,1
3232284322,3232272477,35487,205,TCP,1489583714734725.8,0.0023158148917533,3,618.7507123619091,0
3232284280,3232272441,35487,205,TCP,1489583714728679.8,0.0023158073293885,3,575.8371661117371,1
3232300937,3232272427,35487,205,TCP,1489583714755253.2,0.0023158459435929,4,467.6529138657292,1
3232284297,3232272448,57340,6439,TCP,1489543862878068.8,0.1376840363719543,3,535.6938906741993,0
3232284709,3232272529,59484,205,TCP,1489543863013889.8,0.0023158723317362,3,679.3468255831713,1
3232291445,3232272426,59484,1546,TCP,1489583714729462.2,0.0023158083497866,4,448.370563319288,1
3232284642,3232272465,59484,205,TCP,1489583714756579.8,0.0023158469749497,3,513.6787968561504,1
3232286918,3232272426,35487,205,TCP,1489583714727456.2,0.0023158063030862,3,448.1643059059423,1
3232284286,3232272458,59484,205,TCP,1489565963568512.5,0.0023158138639721,3,763.8483264518391,1
3232284335,3232272427,59484,49272,TCP,1489583714728361.5,0.0023158070745245,3,491.8362644806792,1
3232284268,3232289311,365,205,UDP,1489572222865366.5,0.0023158090122546,3,470.9398138900041,0
3232294467,3232272426,59484,205,TCP,1489583714728740.0,0.0023158075719294,4,447.9851188148602,1
3232284295,3232272452,46756,1546,TCP,1489543862873068.2,0.002315811769611,3,666.0614947298029,1
3232284290,3232272553,51468,205,TCP,1489583714737449.2,0.0023158180688874,3,725.7547266499012,0
3232284267,3232273084,49166,43134,TCP,1489560978824609.0,0.0023158102862178,3,1176.4136090319173,0
3232285489,3232272432,59484,205,TCP,1489583714742579.8,0.0023158256229989,3,510.8794095814412,1
3232294419,3232272426,57340,205,TCP,1489583714727261.8,0.002315806127434,5,447.13225086529656,1
3232284290,3232272525,43177,37406,TCP,1489583714736391.2,0.0023158160922426,3,667.4775113349027,0
3232284530,3232272441,59484,205,TCP,1489565963561949.2,0.0023158116209948,3,502.963827034682,1
3232284267,3232273710,365,37406,TCP,1489578545287901.2,0.0023158062992682,3,1014.7830743366346,0
3232284267,3232273920,365,205,TCP,1489565963565840.8,0.0023158123704121,3,1515.7610020883712,0
3232284268,3232272566,51468,205,TCP,1489578545291749.2,0.0023158077507333,3,964.574912692191,0
3232284271,3232272426,49166,1546,TCP,1489583714727567.2,0.0023158063602413,3,561.2822003453377,1
3232284267,3232344468,365,205,UDP,1489538772060997.0,0.0023158073243385,3,464.5590120190168,0
3232284609,3232272428,35487,59758,TCP,1489583714730677.0,0.0023158096224964,3,473.5485587921033,1
3232284775,3232272450,57340,205,TCP,1489583714753928.8,0.0023158408756369,3,529.1194707661149,1
3232284272,3232274316,43177,6439,TCP,1489555593490416.5,0.0023158411459016,3,1447.3790195491952,0
3232284274,3232272635,51468,205,TCP,1489572222879233.0,0.0023158142516086,3,1035.5965348810912,0
3232284267,3232273317,365,205,TCP,1489551355544394.8,0.0023158096072919,3,1370.968426633691,0
3232284966,3232272426,38247,205,TCP,1489583714730256.2,0.0023158093569725,3,485.97597356464775,1
3232284267,3232275107,365,205,TCP,1489565963546973.5,0.0023158065460899,3,986.817776097927,0
3232284269,3232272546,365,205,TCP,1489572222872101.0,0.0023158115698853,3,1151.9049998282096,0
3232284267,3232273068,51468,49272,TCP,1489560978811070.8,0.002315806389409,3,1380.6501041597724,0
3232284296,3232272453,59484,205,TCP,1489583714729387.5,0.0023158082571188,3,597.9102083282478,1
3232284268,3232273965,365,205,TCP,1489555593401146.5,0.0023158111597617,3,753.7712666101382,0
3232284754,3232272427,59484,205,TCP,1489583714731302.8,0.0023158106290349,3,472.1675761059471,1
3232289116,3232272426,35487,205,TCP,1489583714730874.0,0.0023158101203846,4,449.7804141426439,1
3232284272,3232278139,365,205,UDP,1489543862873532.0,0.0023158131844172,3,462.0180452004584,0
3232284341,3232272435,35487,205,TCP,1489583714731230.0,0.0023158104216538,3,586.8473347217442,1
3232284397,3232272431,46756,205,TCP,1489583714735539.0,0.002315815514575,3,616.9931971869653,1
3232284273,3232272823,51468,49334,TCP,1489560978854969.0,0.0023158215233958,3,856.4797017440878,0
3232284267,3232273893,46756,49272,TCP,1489555593394109.5,0.0023158093070074,3,1549.7029114413551,0
3232284273,3232272514,51468,6439,TCP,1489543862877431.0,0.002315813565569,3,1219.903875302878,0
3232284269,3232272759,51468,49272,TCP,1489565963563926.2,0.0023158119387765,3,1079.1855451146398,0
3232290282,3232272427,59484,205,TCP,1489583714747659.0,0.0023158352342021,4,465.7019466270061,1
3232284791,3232272426,59484,205,TCP,1489583714728170.0,0.0023158069733502,3,451.2434194029991,1
3232284269,3232324829,365,205,UDP,1489578545302262.0,0.0023158135647445,3,484.18994146390025,0
3232284267,3232286721,365,205,UDP,1489555593389734.5,0.0023158081794079,3,777.2856617668253,0
3232292954,3232272426,59484,205,TCP,1489583714727742.0,0.0023158065707159,4,447.6871390735169,1
3232284268,3232272507,43177,1546,TCP,1489560978822544.0,0.002315809763481,3,1430.0995848315129,0
3232284269,3232272446,43177,205,TCP,1489560978816903.5,0.0023158080075994,3,1036.2314878260297,0
3232284311,3232272478,51468,205,TCP,1489555593415466.5,0.002315815457745,3,633.9620788905872,1
