srcip,dstip,srcport,dstport,proto,td,pkt,byt,label
3232291853.0,3232261125.0,60689.0,445.0,TCP,0.003,2.0,174.0,0
3232291847.0,3232261125.0,37191.0,445.0,TCP,0.002,2.0,174.0,0
3232261125.0,3232291854.0,445.0,52321.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291851.0,445.0,34743.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232286728.0,51357.0,57797.0,TCP,0.0,1.0,58.0,1
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.004,2.0,174.0,0
3232291856.0,3232261126.0,57592.0,80.0,TCP,0.004,5.0,479.0,1
3232291853.0,3232261125.0,60689.0,445.0,TCP,0.006,2.0,174.0,0
3232291844.0,3232261125.0,43145.0,445.0,TCP,0.002,2.0,174.0,0
3232261125.0,3232291853.0,445.0,60689.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291844.0,445.0,43145.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291850.0,445.0,40239.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291850.0,445.0,40239.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,36681.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232286725.0,445.0,46808.0,TCP,0.0,1.0,108.0,0
3232291846.0,3232261125.0,46709.0,445.0,TCP,0.003,2.0,174.0,0
3232261125.0,3232291852.0,445.0,49511.0,TCP,0.0,1.0,108.0,0
3232291847.0,3232261125.0,37191.0,445.0,TCP,0.004,2.0,174.0,0
3232261125.0,3232291856.0,445.0,58844.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,58453.0,80.0,TCP,0.004,6.0,545.0,1
3232291848.0,3232261125.0,49094.0,445.0,TCP,0.002,2.0,174.0,0
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291844.0,3232261125.0,43145.0,445.0,TCP,0.004,2.0,174.0,0
3232291856.0,3232261125.0,58844.0,445.0,TCP,0.005,2.0,174.0,0
3232286725.0,3232261125.0,46808.0,445.0,TCP,0.005,2.0,174.0,0
3232261125.0,3232291846.0,445.0,46709.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232291850.0,3232261125.0,40239.0,445.0,TCP,0.005,2.0,174.0,0
3232291847.0,3232261125.0,37191.0,445.0,TCP,0.002,2.0,174.0,0
3232261125.0,3232291846.0,445.0,46709.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291853.0,445.0,60689.0,TCP,0.0,1.0,108.0,0
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.001,2.0,174.0,0
3232291856.0,3232286729.0,51357.0,32781.0,TCP,0.0,1.0,58.0,1
3232291856.0,3232261126.0,36190.0,80.0,TCP,0.003,5.0,479.0,1
3232291850.0,3232261125.0,40239.0,445.0,TCP,0.005,2.0,174.0,0
3232291850.0,3232261125.0,40239.0,445.0,TCP,0.002,2.0,174.0,0
3232291855.0,3232261125.0,48888.0,445.0,TCP,0.0,1.0,66.0,0
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232291854.0,3232261125.0,52321.0,445.0,TCP,0.005,2.0,174.0,0
3232261125.0,3232291855.0,445.0,48888.0,TCP,0.0,1.0,70.0,0
3232291856.0,3232261126.0,60275.0,80.0,TCP,0.004,5.0,479.0,1
3232291856.0,3232261126.0,58830.0,80.0,TCP,0.003,5.0,479.0,1
3232291855.0,3232261125.0,48888.0,445.0,TCP,0.0,2.0,174.0,0
3232261125.0,3232291847.0,445.0,37191.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,60428.0,80.0,TCP,0.004,5.0,479.0,1
3232261125.0,3232291856.0,445.0,58844.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,59324.0,80.0,TCP,0.004,6.0,545.0,1
3232261125.0,3232291856.0,445.0,58844.0,TCP,0.0,1.0,108.0,0
3232261125.0,3232291846.0,445.0,46709.0,TCP,0.0,1.0,108.0,0
3232291855.0,3232261125.0,48888.0,445.0,TCP,0.002,2.0,174.0,0
3232291856.0,3232286722.0,51357.0,548.0,TCP,0.0,1.0,58.0,1
3232291849.0,3232261125.0,37884.0,445.0,TCP,0.004,2.0,174.0,0
3232291856.0,3232261126.0,57635.0,80.0,TCP,0.003,6.0,545.0,1
3232291856.0,3232261126.0,58670.0,80.0,TCP,0.003,5.0,479.0,1
3232261125.0,3232291845.0,445.0,51146.0,TCP,0.0,1.0,108.0,0
3232291856.0,3232261126.0,57637.0,80.0,TCP,0.005,5.0,479.0,1
3232261125.0,3232291854.0,445.0,52321.0,TCP,0.0,1.0,108.0,0
