srcport,dstport,proto,ts,td,pkt,byt,label,srcip_1,srcip_2,srcip_3,srcip_4,dstip_1,dstip_2,dstip_3,dstip_4
48888,445,TCP,1489536076551000.0,0.004,2,174.0,0,192,168,220,15,192,168,100,5
48888,445,TCP,1489536076551000.0,0.004,2,174.0,0,192,168,220,15,192,168,100,5
445,48888,TCP,1489536076552000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,15
445,48888,TCP,1489536076552000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,15
58844,445,TCP,1489536076631000.0,0.004,2,174.0,0,192,168,220,16,192,168,100,5
58844,445,TCP,1489536076631000.0,0.004,2,174.0,0,192,168,220,16,192,168,100,5
445,58844,TCP,1489536076632000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,16
445,37884,TCP,1489536077431000.0,0.0,1,70.0,0,192,168,100,5,192,168,220,9
37884,445,TCP,1489536077432000.0,0.0,1,66.0,0,192,168,220,9,192,168,100,5
37884,445,TCP,1489536077432000.0,0.0,1,66.0,0,192,168,220,9,192,168,100,5
138,138,UDP,1489536077827000.0,0.0,1,243.0,0,192,168,210,4,192,168,210,255
51146,445,TCP,1489536081701000.0,0.003,2,174.0,0,192,168,220,5,192,168,100,5
51146,445,TCP,1489536081701000.0,0.003,2,174.0,0,192,168,220,5,192,168,100,5
445,51146,TCP,1489536081702000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,5
445,51146,TCP,1489536081703000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,5
137,137,UDP,1489536086699000.0,0.0,1,92.0,0,192,168,200,4,192,168,200,255
137,137,UDP,1489536087007000.0,0.0,1,92.0,0,192,168,220,8,192,168,220,255
37191,445,TCP,1489536088259000.0,0.005,2,174.0,0,192,168,220,7,192,168,100,5
445,37191,TCP,1489536088260000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,7
52321,445,TCP,1489536089431000.0,0.004,2,174.0,0,192,168,220,14,192,168,100,5
445,52321,TCP,1489536089432000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,14
51431,25,TCP,1489536089451000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,4
51491,135,TCP,1489536090453000.0,0.003,2,112.0,1,192,168,220,16,192,168,200,9
60689,445,TCP,1489536090740000.0,0.003,2,174.0,0,192,168,220,13,192,168,100,5
445,60689,TCP,1489536090742000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,13
43183,445,TCP,1489536091085000.0,0.002,2,174.0,0,192,168,200,4,192,168,100,5
445,43183,TCP,1489536091086000.0,0.0,1,108.0,0,192,168,100,5,192,168,200,4
51357,52822,TCP,1489536091454000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,1
51357,10616,TCP,1489536092455000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,5
51357,8045,TCP,1489536093456000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,2
51357,2033,TCP,1489536094457000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,8
138,138,UDP,1489536097849000.0,0.0,2,517.0,0,192,168,210,3,192,168,210,255
40239,445,TCP,1489536106359000.0,0.003,2,174.0,0,192,168,220,10,192,168,100,5
445,40239,TCP,1489536106361000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,10
137,137,UDP,1489536107028000.0,0.0,1,92.0,0,192,168,220,12,192,168,220,255
51407,135,TCP,1489536109458000.0,0.002,2,112.0,1,192,168,220,16,192,168,200,8
51358,1035,TCP,1489536110462000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,9
37884,445,TCP,1489536111476000.0,0.004,2,174.0,0,192,168,220,9,192,168,100,5
445,37884,TCP,1489536111478000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,9
34743,445,TCP,1489536119200000.0,0.004,2,174.0,0,192,168,220,11,192,168,100,5
445,34743,TCP,1489536119201000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,11
46808,445,TCP,1489536122702000.0,0.002,2,174.0,0,192,168,200,5,192,168,100,5
445,46808,TCP,1489536122703000.0,0.0,1,108.0,0,192,168,100,5,192,168,200,5
49511,445,TCP,1489536124647000.0,0.004,2,174.0,0,192,168,220,12,192,168,100,5
445,49511,TCP,1489536124648000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,12
51358,2033,TCP,1489536125461000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,8
46709,445,TCP,1489536127394000.0,0.002,2,174.0,0,192,168,220,6,192,168,100,5
445,46709,TCP,1489536127395000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,6
43145,445,TCP,1489536128629000.0,0.003,2,174.0,0,192,168,220,4,192,168,100,5
445,43145,TCP,1489536128630000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,4
49094,445,TCP,1489536129080000.0,0.004,2,174.0,0,192,168,220,8,192,168,100,5
445,49094,TCP,1489536129081000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,8
138,138,UDP,1489536129761000.0,0.0,1,262.0,0,192,168,100,4,192,168,100,255
48888,445,TCP,1489536136712000.0,0.003,2,174.0,0,192,168,220,15,192,168,100,5
445,48888,TCP,1489536136713000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,15
58844,445,TCP,1489536136792000.0,0.004,2,174.0,0,192,168,220,16,192,168,100,5
445,58844,TCP,1489536136796000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,16
51357,15660,TCP,1489536140462000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,1
51357,512,TCP,1489536141463000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,4
51146,445,TCP,1489536141862000.0,0.002,2,174.0,0,192,168,220,5,192,168,100,5
445,51146,TCP,1489536141864000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,5
51357,6580,TCP,1489536142464000.0,0.0,1,58.0,1,192,168,220,16,192,168,200,9
137,137,UDP,1489536147070000.0,0.0,1,92.0,0,192,168,220,15,192,168,220,255
137,137,UDP,1489536147070000.0,0.0,1,92.0,0,192,168,220,9,192,168,220,255
37191,445,TCP,1489536148411000.0,0.005,2,174.0,0,192,168,220,7,192,168,100,5
445,37191,TCP,1489536148413000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,7
52321,445,TCP,1489536149591000.0,0.003,2,174.0,0,192,168,220,14,192,168,100,5
445,52321,TCP,1489536149592000.0,0.0,1,108.0,0,192,168,100,5,192,168,220,14
137,137,UDP,1489536149782000.0,0.0,1,92.0,0,192,168,100,5,192,168,100,255
