srcport,dstport,proto,ts,td,pkt,byt,label,srcip_1,srcip_2,srcip_3,srcip_4,dstip_1,dstip_2,dstip_3,dstip_4
1883,52976,TCP,1554198358000000,80549.53026,252183,58607459,0,3,122,49,24,192,168,1,152
47260,15600,UDP,1554198358000000,0.0,1,63,0,192,168,1,79,192,168,1,255
33269,15600,UDP,1554198364000000,0.0,1,63,0,192,168,1,79,192,168,1,255
37498,15600,UDP,1554198370000000,0.0,1,63,0,192,168,1,79,192,168,1,255
41303,15600,UDP,1554198376000000,0.0,1,63,0,192,168,1,79,192,168,1,255
52072,53,UDP,1554198377000000,0.000499,2,652,0,192,168,1,152,192,168,1,190
58180,15600,UDP,1554198388000000,0.0,1,63,0,192,168,1,79,192,168,1,255
36390,443,TCP,1554198390000000,0.028326,3,156,0,192,168,1,152,172,217,167,67
47671,53,UDP,1554198392000000,0.000331,2,652,0,192,168,1,152,192,168,1,190
60036,15600,UDP,1554198394000000,0.0,1,63,0,192,168,1,79,192,168,1,255
43680,443,TCP,1554198395000000,0.020068,3,156,0,192,168,1,152,216,58,199,66
53946,15600,UDP,1554198400000000,0.0,1,63,0,192,168,1,79,192,168,1,255
35073,15600,UDP,1554198406000000,0.0,1,63,0,192,168,1,79,192,168,1,255
47248,53,UDP,1554198407000000,0.000301,2,652,0,192,168,1,152,192,168,1,190
40408,15600,UDP,1554198418000000,0.0,1,63,0,192,168,1,79,192,168,1,255
51941,53,UDP,1554198422000000,0.000881,2,652,0,192,168,1,152,192,168,1,190
35975,15600,UDP,1554198424000000,0.0,1,63,0,192,168,1,79,192,168,1,255
55043,15600,UDP,1554198430000000,0.0,1,63,0,192,168,1,79,192,168,1,255
59295,53,UDP,1554198437000000,0.000615,2,652,0,192,168,1,152,192,168,1,190
56510,15600,UDP,1554198437000000,0.0,1,63,0,192,168,1,79,192,168,1,255
47025,15600,UDP,1554198443000000,0.0,1,63,0,192,168,1,79,192,168,1,255
47564,53,UDP,1554198452000000,0.000557,2,652,0,192,168,1,152,192,168,1,190
39072,15600,UDP,1554198460000000,0.0,1,63,0,192,168,1,79,192,168,1,255
47335,15600,UDP,1554198466000000,0.0,1,63,0,192,168,1,79,192,168,1,255
57301,53,UDP,1554198467000000,0.00049,2,652,0,192,168,1,152,192,168,1,190
138,138,UDP,1554198477000000,0.0,1,236,0,192,168,1,193,192,168,1,255
5353,5353,UDP,1554198478000000,3.994841000000001,3,756,0,192,168,1,250,224,0,0,251
33519,15600,UDP,1554198478000000,0.0,1,63,0,192,168,1,79,192,168,1,255
41702,53,UDP,1554198482000000,0.000469,2,652,0,192,168,1,152,192,168,1,190
34514,15600,UDP,1554198484000000,0.0,1,63,0,192,168,1,79,192,168,1,255
53075,15600,UDP,1554198490000000,0.0,1,63,0,192,168,1,79,192,168,1,255
32941,15600,UDP,1554198496000000,0.0,1,63,0,192,168,1,79,192,168,1,255
50499,53,UDP,1554198497000000,0.000682,2,652,0,192,168,1,152,192,168,1,190
52986,15600,UDP,1554198502000000,0.0,1,63,0,192,168,1,79,192,168,1,255
54446,53,UDP,1554198512000000,0.000584,2,652,0,192,168,1,152,192,168,1,190
49541,15600,UDP,1554198514000000,0.0,1,63,0,192,168,1,79,192,168,1,255
