srcport,dstport,proto,td,pkt,byt,label,srcip_1,srcip_2,srcip_3,srcip_4,dstip_1,dstip_2,dstip_3,dstip_4
60689.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,13,192,168,100,5
37191.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,7,192,168,100,5
445.0,52321.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,14
445.0,34743.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,11
51357.0,57797.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,8
52321.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,14,192,168,100,5
57592.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
60689.0,445.0,TCP,0.006,2.0,174.0,0,192,168,220,13,192,168,100,5
43145.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,4,192,168,100,5
445.0,60689.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,13
445.0,43145.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,4
445.0,40239.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,10
445.0,40239.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,10
36681.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,46808.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,200,5
46709.0,445.0,TCP,0.003,2.0,174.0,0,192,168,220,6,192,168,100,5
445.0,49511.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,12
37191.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,7,192,168,100,5
445.0,58844.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,16
58453.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
49094.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,8,192,168,100,5
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
43145.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,4,192,168,100,5
58844.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,16,192,168,100,5
46808.0,445.0,TCP,0.005,2.0,174.0,0,192,168,200,5,192,168,100,5
445.0,46709.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,6
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
40239.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,10,192,168,100,5
37191.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,7,192,168,100,5
445.0,46709.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,6
445.0,60689.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,13
52321.0,445.0,TCP,0.001,2.0,174.0,0,192,168,220,14,192,168,100,5
51357.0,32781.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,9
36190.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
40239.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,10,192,168,100,5
40239.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,10,192,168,100,5
48888.0,445.0,TCP,0.0,1.0,66.0,0,192,168,220,15,192,168,100,5
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
52321.0,445.0,TCP,0.005,2.0,174.0,0,192,168,220,14,192,168,100,5
445.0,48888.0,TCP,0.0,1.0,70.0,0,192,168,100,5,192,168,220,15
60275.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
58830.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
48888.0,445.0,TCP,0.0,2.0,174.0,0,192,168,220,15,192,168,100,5
445.0,37191.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,7
60428.0,80.0,TCP,0.004,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,58844.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,16
59324.0,80.0,TCP,0.004,6.0,545.0,1,192,168,220,16,192,168,100,6
445.0,58844.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,16
445.0,46709.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,6
48888.0,445.0,TCP,0.002,2.0,174.0,0,192,168,220,15,192,168,100,5
51357.0,548.0,TCP,0.0,1.0,58.0,1,192,168,220,16,192,168,200,2
37884.0,445.0,TCP,0.004,2.0,174.0,0,192,168,220,9,192,168,100,5
57635.0,80.0,TCP,0.003,6.0,545.0,1,192,168,220,16,192,168,100,6
58670.0,80.0,TCP,0.003,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,51146.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,5
57637.0,80.0,TCP,0.005,5.0,479.0,1,192,168,220,16,192,168,100,6
445.0,52321.0,TCP,0.0,1.0,108.0,0,192,168,100,5,192,168,220,14
